[INFO][07-23-2017 10:12:31][DuncteBot]: Logging to: D:\eclipse\skybot\logs\log_7-23_101231.log
[INFO][07-23-2017 10:12:38][DuncteBot]: Logged in as duncte123's bot
[INFO][07-23-2017 10:12:53][DuncteBotCommand]: User duncte123#1245 ran command /join
[INFO][07-23-2017 10:12:53][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:13:02][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:13:08][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:15:49][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:15:50][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:15:53][DuncteBotCommand]: User duncte123#1245 ran command /np
[INFO][07-23-2017 10:15:53][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:15:59][DuncteBotMessage]: Message from user duncte123#1245: Cool cool
[INFO][07-23-2017 10:17:11][DuncteBotCommand]: User duncte123#1245 ran command /shutdown
