[INFO][07-23-2017 10:04:50][DuncteBot]: Logging to: D:\eclipse\skybot\logs\log_7-23_10450.log
[INFO][07-23-2017 10:05:14][DuncteBot]: Logged in as duncte123's bot
[INFO][07-23-2017 10:05:25][DuncteBotCommand]: User duncte123#1245 ran command /join
[INFO][07-23-2017 10:05:25][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:05:34][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:05:45][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:05:51][DuncteBotMessage]: Message from user duncte123#1245: Bot stop lagging
[INFO][07-23-2017 10:06:14][DuncteBotMessage]: Message from user duncte123#1245: At least it's working again
[INFO][07-23-2017 10:06:23][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:06:24][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:06:33][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:06:33][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:06:36][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:06:37][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:06:40][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:06:40][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:06:44][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:06:44][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:06:47][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:06:47][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:06:50][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:06:51][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:06:53][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:06:54][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:06:56][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:06:57][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:06:59][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:07:00][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:07:02][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:07:03][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:08:18][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:08:19][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:08:20][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:08:21][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:08:23][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:08:24][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:08:36][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:08:37][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:08:52][DuncteBotCommand]: User duncte123#1245 ran command /p
[INFO][07-23-2017 10:09:03][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:09:03][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:09:15][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:09:16][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:09:33][DuncteBotCommand]: User duncte123#1245 ran command /list
[INFO][07-23-2017 10:09:33][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:09:42][DuncteBotCommand]: User duncte123#1245 ran command /stop
[INFO][07-23-2017 10:09:43][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:09:53][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:09:54][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:10:11][DuncteBotMessage]: Message from user duncte123#1245: Wtf
[INFO][07-23-2017 10:10:49][DuncteBotCommand]: User duncte123#1245 ran command /stop
[INFO][07-23-2017 10:10:49][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:10:55][DuncteBotCommand]: User duncte123#1245 ran command /shutdown
