[INFO][07-23-2017 09:59:47][DuncteBot]: Logging to: D:\eclipse\skybot\logs\log_7-23_095946.log
[INFO][07-23-2017 09:59:58][DuncteBot]: Logged in as duncte123's bot
[INFO][07-23-2017 10:00:04][DuncteBotCommand]: User duncte123#1245 ran command /join
[INFO][07-23-2017 10:00:05][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:00:09][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:00:12][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:00:46][DuncteBotCommand]: User duncte123#1245 ran command /stop
[INFO][07-23-2017 10:00:46][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:00:51][DuncteBotCommand]: User duncte123#1245 ran command /play
[INFO][07-23-2017 10:00:52][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:01:05][DuncteBotMessage]: Message from user duncte123#1245: No it's not playing
[INFO][07-23-2017 10:01:14][DuncteBotCommand]: User duncte123#1245 ran command /stop
[INFO][07-23-2017 10:01:14][DuncteBotMessage]: Message from user duncte123's bot#1758: 
[INFO][07-23-2017 10:01:19][DuncteBotCommand]: User duncte123#1245 ran command /shutdown
